iter	Passed	Remaining
870	111410	16500
871	111532	16371
872	111656	16243
873	111780	16114
874	111905	15986
875	112034	15858
876	112161	15730
877	112287	15602
878	112412	15474
879	112537	15346
880	112664	15217
881	112789	15089
882	112913	14961
883	113041	14833
884	113177	14706
885	113305	14578
886	113431	14450
887	113555	14322
888	113681	14194
889	113805	14065
890	113928	13937
891	114052	13809
892	114179	13681
893	114306	13553
894	114429	13424
895	114553	13296
896	114680	13168
897	114805	13040
898	114935	12912
899	115065	12785
900	115190	12656
901	115318	12529
902	115444	12401
903	115569	12272
904	115695	12144
905	115822	12016
906	115950	11889
907	116075	11760
908	116201	11632
909	116328	11505
910	116452	11376
911	116578	11248
912	116703	11120
913	116829	10992
914	116955	10864
915	117082	10736
916	117210	10609
917	117334	10480
918	117462	10353
919	117593	10225
920	117727	10098
921	117855	9970
922	117986	9842
923	118112	9714
924	118237	9586
925	118360	9458
926	118492	9331
927	118617	9203
928	118747	9075
929	118870	8947
930	118996	8819
931	119124	8691
932	119258	8564
933	119385	8436
934	119519	8308
935	119649	8181
936	119776	8053
937	119900	7925
938	120032	7797
939	120155	7669
940	120280	7541
941	120406	7413
942	120534	7285
943	120659	7157
944	120782	7029
945	120907	6901
946	121036	6773
947	121158	6645
948	121284	6517
949	121409	6389
950	121535	6262
951	121663	6134
952	121786	6006
953	121915	5878
954	122040	5750
955	122165	5622
956	122292	5494
957	122417	5366
958	122539	5238
959	122668	5111
960	122793	4983
961	122923	4855
962	123052	4727
963	123179	4600
964	123303	4472
965	123428	4344
966	123555	4216
967	123681	4088
968	123805	3960
969	123927	3832
970	124054	3705
971	124179	3577
972	124306	3449
973	124430	3321
974	124560	3193
975	124685	3066
976	124812	2938
977	124939	2810
978	125065	2682
979	125195	2555
980	125319	2427
981	125441	2299
982	125568	2171
983	125697	2043
984	125824	1916
985	125953	1788
986	126079	1660
987	126207	1532
988	126335	1405
989	126463	1277
990	126588	1149
991	126711	1021
992	126841	894
993	126967	766
994	127094	638
995	127221	510
996	127346	383
997	127470	255
998	127597	127
999	127725	0
